Suburb,Location,lon,lat,Postcode
Broadford,"Hume Freeway, Northbound 101m south of Broadford-Flowerdale Road, Broadford,Vic, Australia",145.2517392,-37.2644,3658
Broadford,"Hume Freeway, Southbound 109m south of Broadford-Flowerdale Road, Broadford,Vic, Australia",145.2517392,-37.2644,3658
Craigieburn,"Hume Freeway, Southbound 65m south of Amaroo Road, Craigieburn,Vic, Australia",144.9457959,-37.5762218,3064
Craigieburn,"Hume Freeway, Northbound 66m south of Amaroo Road, Craigieburn,Vic, Australia",144.9446306,-37.5764504,3064
Epping,"Hume Freeway, Northbound 65m south of O'Harns Road, Epping,Vic, Australia",145.0264991,-37.6376635,3076
Epping,"Hume Freeway, Southbound 60m sout of O'Hearns Road, Epping,Vic, Australia",144.9890112,-37.6336647,3076
Wallan East,"Hume Freeway, Southbound Station Street, Wallan East,Vic, Australia",145.0060428,-37.4101038,NA
Wallan East,"Hume Freeway, Northbound Station Street, Wallan East,Vic, Australia",145.0060428,-37.4101038,NA
Ironbark,"Loddon Valley Highway at the intersection of Loddon Valley Highway and Calder Highway, Ironbark,Vic, Australia",144.263738,-36.7555946,3550
Kensington,"Epsom Road at the intersection of Epsom Road and Smithfield Road, Kensington,Vic, Australia",144.9229674,-37.7892004,3031
Kensington,"Macauley Road at the intersection of Macauley Road and Stubbs Street, Kensington,Vic, Australia",144.9349013,-37.7949788,3031
Kew,"Denmark Street at the intersection of Denmark Street and High Street South, Kew,Vic, Australia",145.0432034,-37.8023122,3101
Kew,"Intersection of Chandler Highway and Eastern Freeway, Kew,Vic, Australia",145.0304371,-37.7908351,3101
Kew,"Intersection of Glenferrie Road and Wellingston Street, Kew,Vic, Australia",145.0377156,-37.8099873,3101
Kew,"Charles Street at the intersection of Charles Street and Cotham Road, Kew,Vic, Australia",145.0459578,-37.8086079,3101
Kew,"Denmark Street at the intersection of Denmark Street and Barkers Road, Kew,Vic, Australia",145.0354738,-37.8145357,3101
Kew East,"Harp Road at the intersection of Harp Road and Burke Road, Kew East,Vic, Australia",145.0625202,-37.8007927,3102
Kew East,"Burke Road at the intersection of Burke Road and Old Burke Road, Kew East,Vic, Australia",145.0649249,-37.7873446,3102
Kilsyth South,"Canterbury Road at the intersection of Canterbury Road and Colchester Road, Kilsyth South,Vic, Australia",145.3042776,-37.8214864,3137
Kingsbury,"At the intersection of Plenty Road and Dunne Street, Kingsbury,Vic, Australia",145.0428975,-37.7168339,3083
Kingsville,"Geelong Street at the intersection of Geelong Street and Geelong Road, Kingsville,Vic, Australia",144.3598426,-38.1492994,3012
Lake Gardens,"Sturt Street at the intersection of Sturt Street and Gillies Street, Lake Gardens,Vic, Australia",143.8190321,-37.5557043,3355
Lynbrook,"South Gippsland Highway at the intersection of South Gippsland Highway and Lynbrook Boulevard, Lynbrook,Vic, Australia",145.2575556,-38.0503848,3975
Maidstone,"Ashley Street at the intersection of Ashley Street and Churchill Avenue, Maidstone,Vic, Australia",144.8644436,-37.7865473,3012
Maidstone,"Ballarat Road at the intersection of Ballarat Road and Churchill Avenue, Maidstone,Vic, Australia",144.8688883,-37.7828408,3012
Maidstone,"Ballarat Road at the intersection of Ballarat Road and Ashley Street, Maidstone,Vic, Australia",144.8653997,-37.7814564,3012
Malvern East,"Intersection of Warrigal Road and Batesford Road, Malvern East,Vic, Australia",145.0915361,-37.8754333,3145
Malvern East,"Dandenong Road at the intersection of Dandenong Road and Warrigal Road, Malvern East,Vic, Australia",145.0883122,-37.8928841,3145
Malvern East,"Princes Highway at the intersection of Princes Highway and Belgrave Road, Malvern East,Vic, Australia",145.0674771,-37.884558,3145
Malvern East,"Intersection of Warrigal Road and Batesford Road, Malvern East,Vic, Australia",145.0915361,-37.8754333,3145
Melbourne,"Swan Street at the intersection of Swan Street and Batman Avenue, Melbourne,Vic, Australia",144.9783149,-37.8232609,3000
Melbourne,"Elizabeth Street at the intersection of Elizabeth Street and Victoria Street, Melbourne,Vic, Australia",144.9592288,-37.8061509,3000
Melbourne,"Punt Road at the intersection of Punt Road and Commercial Road, Melbourne,Vic, Australia",144.9850326,-37.8455994,3000
Melbourne,"St Kilda Road at the intersection of St Kilda Road and Union Street, Melbourne,Vic, Australia",144.9820083,-37.8532893,3000
Melbourne,"Exhibition Street at the intersection of Exhibition Street and Victoria Street, Melbourne,Vic, Australia",144.9690059,-37.8113181,3000
Melbourne,"Flinders Street at the intersection of Flinders Street and William Street, Melbourne,Vic, Australia",144.9599241,-37.8195443,3000
Melbourne,"Elizabeth Street at the intersection of Elizabeth Street and La Trobe Street, Melbourne,Vic, Australia",144.9614233,-37.8102887,3000
Melbourne,"William Street at the intersection of William Street and Flinders Street, Melbourne,Vic, Australia",144.9599241,-37.8195443,3000
Melbourne Airport,"Terminal Drive at the intersection of Terminal Drive and Centre Road, Melbourne Airport,Vic, Australia",144.8519632,-37.6729451,3045
Mentone,"Nepean Highway at the intersection of Nepean Highway and Warrigal Road, Mentone,Vic, Australia",145.0713289,-37.98197,3194
Bagshot,"Midland Highway, Eastbound at Bagshot level crossing 40m west of Peatlings Road, Bagshot,Vic, Australia",144.4010957,-36.6684939,3551
Bagshot,"Midland Highway, Westbound at Bagshot level crossing 40m west of Peatlings Road, Bagshot,Vic, Australia",144.4010957,-36.6684939,3551
Mildura,"Fifteenth Street at the intersection of Fifteenth Street and San Mateo Avenue, Mildura,Vic, Australia",142.1232971,-34.2258657,3500
Moonee Ponds,"Maribyrnong Road at the intersection of Maribyrnong Road and Mt Alexander Road, Moonee Ponds,Vic, Australia",144.9239114,-37.7726124,3039
Mornington,"Nepean Highway at the intersection of Nepean Highway and Bungower Road, Mornington,Vic, Australia",145.0567963,-38.2203973,3931
Mornington,"Nepean Highway at the intersection of Nepean Highway and Main Street, Mornington,Vic, Australia",145.044921,-38.2296165,3931
Mount Waverley,"Intersection of Ferntree Gully Road and Stephensons Road, Mount Waverley,Vic, Australia",145.1243535,-37.8991991,3149
Mount Waverley,"Highbury Road at the intersection of Highbury Road and Huntingdale Road, Mount Waverley,Vic, Australia",145.1140198,-37.8555206,3149
Mount Waverley,"High Street Road at the intersection of High Street Road and Huntingdale Road, Mount Waverley,Vic, Australia",145.1117333,-37.8678901,3149
Mount Waverley,"High Street Road at the intersection of High Street Road and Stephensons Road, Mount Waverley,Vic, Australia",145.1300444,-37.8700979,3149
Mount Waverley,"Waverley Road at the intersection of Waverley Road and Blackburn Road, Mount Waverley,Vic, Australia",145.1456315,-37.8867205,3149
Mount Waverley,"Intersection of Blackburn Road and Monash Freeway, Mount Waverley,Vic, Australia",145.155162,-37.8423011,3149
Mulgrave,"Springvale Road at the intersection of Springvale Road and Wellington Road, Mulgrave,Vic, Australia",145.162812,-37.8966369,3170
Narre Warren,"Princes Highway at the intersection of Princes Highway and Webb Street, Narre Warren,Vic, Australia",145.3052934,-38.0252352,3805
Naree Warren,"At the intersection of Narre Warren North Road and Ernst Wanke Road, Narre Warren,Vic, Australia",145.3126144,-37.9967423,NA
Narre Warren North,"At the intersection of Narre Warren North Road and Ernst Wanke Road, Narre Warren North,Vic, Australia",145.3126144,-37.9967423,3804
Newtown,"Shannon Avenue at the intersection of Shannon Avenue and Noble Street, Newtown,Vic, Australia",144.3341212,-38.1526092,3220
Noble Park,"Lightwood Road at the intersection of Lightwood Road and Corrigan Road, Noble Park,Vic, Australia",145.169111,-37.961703,3174
Noble Park,"Heatherton Road at the intersection of Heatherton Road and Corrigan Road, Noble Park,Vic, Australia",145.168559,-37.9644406,3174
Noble Park North,"Princes Highway at the intersection of Princes Highway and Elonera Road, Noble Park North,Vic, Australia",145.1885304,-37.9615705,3174
Norlane,"The Boulevard at the intersection of The Boulevard and Melbourne Road, Norlane,Vic, Australia",144.3532754,-38.107201,3214
Norlane,"Princes Highway at the intersection of Princes Highway and Sparks Road, Norlane,Vic, Australia",144.3566669,-38.0914709,3214
Northcote,"St Georges Road at the intersection of St Georges Road and Arthurton Road, Northcote,Vic, Australia",145.0179199,-37.8346564,3070
Nunawading,"Maroondah Highway at the intersection of Maroondah Highway and Springvale Road, Nunawading,Vic, Australia",145.1759273,-37.8185372,3131
Oakleigh,"Warrigal Road at the intersection of Warrigal Road and North Road, Oakleigh,Vic, Australia",145.0851049,-37.909522,3166
Oakleigh East,"At the intersection of North Road and Clayton Road, Oakleigh East,Vic, Australia",145.1219052,-37.9136658,3166
Oakleigh East,"Princes Highway at the intersection of Princes Highway and Huntingdale Road, Oakleigh East,Vic, Australia",145.1054282,-37.900851,3166
Oakleigh East,"Dandenong Road at the intersection of Dandenong Road and Clayton Road, Oakleigh East,Vic, Australia",145.1223187,-37.9112708,3166
Oakleigh South,"Centre Road at the intersection of Centre Road and Huntingdale Road, Oakleigh South,Vic, Australia",145.1006802,-37.9262678,3167
Parkville,"Intersection of Royal Parade and Cemetrey Road West, Parkville,Vic, Australia",144.9588229,-37.7898396,3052
Parkville,"Cemetery Road West at the intersection of Cemetery Road West and Royal Parade, Parkville,Vic, Australia",144.9588229,-37.7898396,3052
Parkville,"Royal Parade at the intersection of Royal Parade and Gatehouse Street, Parkville,Vic, Australia",144.9584912,-37.7924967,3052
Parkville,"Flemington Road at the intersection of Flemington Road and Gatehouse Street, Parkville,Vic, Australia",144.9510159,-37.7966936,3052
Pascoe Vale South,"Sussex Street at the intersection of Sussex Street and O'Hea Street, Pascoe Vale South,Vic, Australia",144.9490526,-37.7360081,3044
Carrum Downs,"Peninsula Link Freeway, Southbound, Ballarto Road Bridge, Carrum Downs,Vic, Australia",145.1599161,-38.1060711,3201
Carrum Downs,"Peninsula Link Freeway, Southbound, Ballarto Road Bridge, Carrum Downs - Point-to-point,Vic, Australia",145.1726257,-38.0994897,3201
Frankston,"Peninsula Link Freeway and Skye Road Bridge Southbound, Frankston - Point-to-point,Vic, Australia",145.066387,-38.2721856,3199
Frankston,"Peninsula Link Freeway and Skye Road Bridge Southbound, Frankston,Vic, Australia",145.1533648,-38.1360257,3199
Frankston,"Peninsula Link Freeway and Skye Road Bridge Northbound, Frankston,Vic, Australia",145.1533648,-38.1360257,3199
Frankston,"Peninsula Link Freeway and Skye Road Bridge Northbound, Frankston - Point-to-point,Vic, Australia",145.066387,-38.2721856,3199
Frankston North,"Peninsula Link Freeway, Northbound, Ballarto Road Bridge, Frankston North,Vic, Australia",145.1722134,-38.1267236,3200
Frankston North,"Peninsula Link Freeway, Northbound, Ballarto Road Bridge, Frankston North - Point-to-point,Vic, Australia",145.1722134,-38.1267236,3200
Moorooduc,"Peninsula Link Freeway and Eramosa Road West Bridge Northbound, Moorooduc  - Point-to-point,Vic, Australia",145.1340095,-38.2175221,3933
Moorooduc,"Peninsula Link Freeway and Eramosa Road West Bridge Northbound, Moorooduc,Vic, Australia",145.1340095,-38.2175221,3933
Moorooduc,"Peninsula Link Freeway and Eramosa Road West Bridge Southbound, Moorooduc - Point-to-point,Vic, Australia",145.1340095,-38.2175221,3933
Moorooduc,"Peninsula Link Freeway and Eramosa Road West Bridge Southbound, Moorooduc,Vic, Australia",145.1340095,-38.2175221,3933
Moorooduc,"Peninsula Link Freeway and Mornington-Tyabb Road Bridge Southbound, Moorooduc - Point-to-point,Vic, Australia",145.114291,-38.2508146,3933
Moorooduc,"Peninsula Link Freeway and Mornington-Tyabb Road Bridge Southbound, Moorooduc,Vic, Australia",145.114291,-38.2508146,3933
Moorooduc,"Peninsula Link Freeway and Loders Road Bridge Northbound, Moorooduc,Vic, Australia",145.1112499,-38.2677813,3933
Moorooduc,"Peninsula Link Freeway and Loders Road Bridge Northbound, Moorooduc - Point-to-point,Vic, Australia",145.066387,-38.2721856,3933
Point Cook,"At the intersection of Princess Freeway and Forsyth Road Bridge, Point Cook,Vic, Australia",144.7365998,-37.8735664,3030
Prahran,"Punt Road at the intersection of Punt Road and High Street, Prahran,Vic, Australia",144.9842063,-37.8506484,3181
Preston,"Bell Street at the intersection of Bell Street and St Georges Road, Preston,Vic, Australia",144.9977403,-37.7446802,3072
Preston,"Gilbert Road at the intersection of Gilbert Road and Bell Street, Preston,Vic, Australia",145.0086739,-37.7457943,3072
Preston,"Albert Street at the intersection of Albert Street and Gower Street, Preston,Vic, Australia",145.0226702,-37.7425659,3072
